Navn,Ticker,Antall,Snittpris,Kjøpsverdi,Markedsverdi,Avkastning
Novo Nordisk,NOVO B,315,501.05,157830.11,160971.33,1.28
Kraft Bank,KRAB,14000,10.07,140905.0,155400.0,10.29
Paratus Energy,PLSV,3500,34.72,121505.86,141540.0,16.49
Nordic Semiconductor,NOD,1000,103.31,103308.5,135300.0,30.97
SED Energy,ENH,15230,9.13,138996.6,134328.6,-3.36
Odfjell Drilling,ODL,1835,72.93,133830.0,133955.0,0.09
ATEA,ATEA,715,149.62,106976.1,101673.0,-4.96
Austevoll Seafood,AUSS,1035,94.69,98007.53,101016.0,3.07
Storebrand,STB,670,129.12,86510.69,100634.0,16.33
Yara,YAR,260,349.42,90848.5,95966.0,5.63
Subsea 7,SUBC,250,179.7,44925.05,49600.0,10.41
